"year","election_type","state","votes","eligible_voters"
2002,"Midterm","Kentucky",NA,3044267
2002,"Midterm","Louisiana",1267225,3163663
2002,"Midterm","Maine",NA,995056
2002,"Midterm","Maryland",1721626,3678346
2002,"Midterm","Massachusetts",2220301,4458820
2002,"Midterm","Michigan",3219864,7147888
2002,"Midterm","Minnesota",NA,3518184
2002,"Midterm","Mississippi",NA,2047426
2002,"Midterm","Missouri",NA,4116889
2002,"Midterm","Montana",340272,684572
2002,"Midterm","Nebraska",NA,1204512
2002,"Midterm","Nevada",512433,1391100
2002,"Midterm","New Hampshire",453078,930362
2002,"Midterm","New Jersey",2161105,5549726
2002,"Midterm","New Mexico",502230,1255086
2002,"Midterm","New York",4690968,12679865
2002,"Midterm","North Carolina",NA,5876705
2002,"Midterm","North Dakota",237224,476251
2002,"Midterm","Ohio",3356285,8322521
2002,"Midterm","Oklahoma",NA,2513143
2002,"Midterm","Oregon",1293756,2495739
2002,"Midterm","Pennsylvania",NA,9143001
2002,"Midterm","Rhode Island",337027,741776
2002,"Midterm","South Carolina",NA,2982810
2002,"Midterm","South Dakota",340407,556154
2002,"Midterm","Tennessee",NA,4151834
2002,"Midterm","Texas",4552059,13181016
2002,"Midterm","Utah",568290,1504529
2002,"Midterm","Vermont",232993,471403
2002,"Midterm","Virginia",1661915,5138270
2002,"Midterm","Washington",1808720,4162032
2002,"Midterm","West Virginia",440156,1398124
2002,"Midterm","Wisconsin",NA,3908088
2002,"Midterm","Wyoming",188028,370488
2000,"Presidential","Alabama",NA,3241682
2000,"Presidential","Alaska",287825,419111
2000,"Presidential","Arizona",1559520,3357701
2000,"Presidential","Arkansas",NA,1925961
2000,"Presidential","California",11142843,19685258
2000,"Presidential","Colorado",NA,3026316
2000,"Presidential","Connecticut",1474103,2357687
2000,"Presidential","Delaware",NA,554863
2000,"Presidential","District of Columbia",NA,416696
2000,"Presidential","Florida",6138765,10667193
2000,"Presidential","Georgia",2684951,5639668
2000,"Presidential","Hawaii",371113,832642
2000,"Presidential","Idaho",516647,877406
2000,"Presidential","Illinois",4932192,8432600
2000,"Presidential","Indiana",2246348,4424909
2000,"Presidential","Iowa",NA,2082950
2000,"Presidential","Kansas",1092716,1927950
2000,"Presidential","Kentucky",1568058,2955628
2000,"Presidential","Louisiana",1776133,3130267
2000,"Presidential","Maine",NA,969292
2000,"Presidential","Maryland",2036455,3649631
2000,"Presidential","Massachusetts",2736006,4517052
2000,"Presidential","Michigan",4279299,7070702
2000,"Presidential","Minnesota",2458303,3506432
2000,"Presidential","Mississippi",NA,2024650
2000,"Presidential","Missouri",NA,4052255
2000,"Presidential","Montana",417916,667525
2000,"Presidential","Nebraska",707223,1224178
2000,"Presidential","Nevada",613360,1346116
2000,"Presidential","New Hampshire",578656,890622
2000,"Presidential","New Jersey",3293378,5601788
2000,"Presidential","New Mexico",615607,1234088
2000,"Presidential","New York",6960215,12380208
2000,"Presidential","North Carolina",3015964,5744241
2000,"Presidential","North Dakota",292249,477968
2000,"Presidential","Ohio",4795989,8295592
2000,"Presidential","Oklahoma",NA,2475220
2000,"Presidential","Oregon",1559215,2364402
2000,"Presidential","Pennsylvania",NA,9086897
2000,"Presidential","Rhode Island",412074,753877
2000,"Presidential","South Carolina",1433533,2944326
2000,"Presidential","South Dakota",322159,548498
2000,"Presidential","Tennessee",2100241,4162996
2000,"Presidential","Texas",6407637,13033081
2000,"Presidential","Utah",784582,1431668
2000,"Presidential","Vermont",297146,459174
2000,"Presidential","Virginia",2789808,5069265
2000,"Presidential","Washington",2517028,4098044
2000,"Presidential","West Virginia",NA,1390365
2000,"Presidential","Wisconsin",NA,3842044
2000,"Presidential","Wyoming",221685,361078
1998,"Midterm","Alabama",NA,3202052
1998,"Midterm","Alaska",227156,408758
1998,"Midterm","Arizona",1037550,3232815
1998,"Midterm","Arkansas",NA,1882181
1998,"Midterm","California",8617649,19264556
1998,"Midterm","Colorado",NA,2879973
1998,"Midterm","Connecticut",1022453,2340956
1998,"Midterm","Delaware",NA,540896
1998,"Midterm","District of Columbia",137523,398318
1998,"Midterm","Florida",4070262,10590870
1998,"Midterm","Georgia",1842145,5326337
1998,"Midterm","Hawaii",412520,832172
1998,"Midterm","Idaho",386720,843914
1998,"Midterm","Illinois",3541379,8285614
1998,"Midterm","Indiana",1618689,4348730
1998,"Midterm","Iowa",973032,2112132
1998,"Midterm","Kansas",743288,1873438
1998,"Midterm","Kentucky",1215053,2930780
1998,"Midterm","Louisiana",990243,3097660
1998,"Midterm","Maine",NA,943577
1998,"Midterm","Maryland",1556994,3571087
1998,"Midterm","Massachusetts",1935277,4430939
1998,"Midterm","Michigan",3143432,7005306
1998,"Midterm","Minnesota",2105343,3378089
1998,"Midterm","Mississippi",NA,1995283
1998,"Midterm","Missouri",NA,3978146
1998,"Midterm","Montana",338733,653998
1998,"Midterm","Nebraska",581775,1197953
1998,"Midterm","Nevada",440042,1233386
1998,"Midterm","New Hampshire",330555,878508
1998,"Midterm","New Jersey",1894496,5505229
1998,"Midterm","New Mexico",517355,1199320
1998,"Midterm","New York",4989877,12263356
1998,"Midterm","North Carolina",NA,5624292
1998,"Midterm","North Dakota",217584,475629
1998,"Midterm","Ohio",3534782,8237516
1998,"Midterm","Oklahoma",NA,2415036
1998,"Midterm","Oregon",1160400,2370381
1998,"Midterm","Pennsylvania",NA,9075961
1998,"Midterm","Rhode Island",309835,723772
1998,"Midterm","South Carolina",1092430,2825173
1998,"Midterm","South Dakota",266355,534711
1998,"Midterm","Tennessee",1026017,4092745
1998,"Midterm","Texas",NA,12490423
1998,"Midterm","Utah",506553,1381989
